id_commande,date_commande,pays_livraison,type_commande,transporteur,numero_suivi,ca_ht,cout_achat,cout_transport_estime,nombre_articles,poids_total
CMD-2026-001,2026-06-04T10:15:00,FRA,B2C_standard,La Poste,6A12345678901,35.90,18.00,7.50,2,1.200
CMD-2026-002,2026-06-04T14:22:00,DEU,B2C_standard,DHL,1Z999AA10123456784,52.40,25.00,11.00,3,2.100
CMD-2026-003,2026-06-05T09:08:00,FRA,B2C_standard,Colis Privé,CP98765432101,28.50,14.00,5.50,1,1.000
CMD-2026-004,2026-06-06T16:45:00,USA,B2C_international,FedEx,7489XXXX1234,89.90,42.00,18.00,4,3.500
CMD-2026-005,2026-06-07T11:30:00,GBR,B2C_international,UPS,1Z999AA10123456785,45.00,22.00,10.50,2,1.500
CMD-2026-006,2026-06-08T08:55:00,FRA,B2B_grossiste,Chronopost,XX123456789FR,120.00,65.00,12.00,10,1.500
CMD-2026-007,2026-06-09T13:20:00,FRA,B2C_standard,La Poste,6A12345678903,19.90,9.50,5.00,1,0.800
CMD-2026-008,2026-06-10T17:00:00,DEU,B2C_international,Chronopost,XX123456790FR,67.80,32.00,15.00,3,2.200
CMD-2026-009,2026-06-11T10:40:00,FRA,B2C_standard,Colis Privé,CP98765432104,41.20,20.00,7.00,2,2.400
CMD-2026-010,2026-06-12T15:10:00,USA,B2C_international,DHL,1Z999AA10123456786,95.00,48.00,20.00,5,3.000
